Store,Date,Weekly_Sales,Holiday_Flag,Temperature,CPI
1,2010-02-05,1643690.9,0,42.31,211.0963582
1,2010-02-12,1641957.44,1,38.51,211.2421698
1,2010-02-19,1611968.17,0,39.93,211.2891429
1,2010-02-26,1409727.59,0,46.63,211.3196429
1,2010-03-05,1554806.68,0,46.5,211.3501429
1,2010-03-12,1439541.59,0,57.79,211.3806429
1,2010-03-19,1472515.79,0,54.58,211.215635
1,2010-03-26,1404429.92,0,51.45,211.0180424
1,2010-04-02,1594968.28,0,62.27,210.8204499
1,2010-04-09,1545418.53,0,65.86,210.6228574
1,2010-04-16,1466058.28,0,66.32,210.4887
1,2010-04-23,1391256.12,0,64.84,210.4391228
1,2010-04-30,1425100.71,0,67.41,210.3895456
1,2010-05-07,1603955.12,0,72.55,210.3399684
1,2010-05-14,1494251.5,0,74.78,210.3374261
1,2010-05-21,1399662.07,0,76.44,210.6170934
1,2010-05-28,1432069.95,0,80.44,210.8967606
1,2010-06-04,1615524.71,0,80.69,211.1764278
1,2010-06-11,1542561.09,0,80.43,211.4560951
1,2010-06-18,1503284.06,0,84.11,211.4537719
1,2010-06-25,1422711.6,0,84.34,211.3386526
1,2010-07-02,1492418.14,0,80.91,211.2235333
1,2010-07-09,1546074.18,0,80.48,211.108414
1,2010-07-16,1448938.92,0,83.15,211.1003854
1,2010-07-23,1385065.2,0,83.36,211.2351443
1,2010-07-30,1371986.6,0,81.84,211.3699032
1,2010-08-06,1605491.78,0,87.16,211.5046621
1,2010-08-13,1508237.76,0,87.0,211.6394211
1,2010-08-20,1513080.49,0,86.65,211.6033633
1,2010-08-27,1449142.92,0,85.22,211.5673056
1,2010-09-03,1540163.53,0,81.21,211.5312479
1,2010-09-10,1507460.69,1,78.69,211.4951902
1,2010-09-17,1430378.67,0,82.11,211.5224596
1,2010-09-24,1351791.03,0,80.94,211.5972246
1,2010-10-01,1453329.5,0,71.89,211.6719895
1,2010-10-08,1508239.93,0,63.93,211.7467544
1,2010-10-15,1459409.1,0,67.18,211.8137436
1,2010-10-22,1345454.0,0,69.86,211.8612937
1,2010-10-29,1384209.22,0,69.64,211.9088438
1,2010-11-05,1551659.28,0,58.74,211.9563939
1,2010-11-12,1494479.49,0,59.61,212.003944
1,2010-11-19,1483784.18,0,51.41,211.8896737
1,2010-11-26,1955624.11,1,64.52,211.7484333
1,2010-12-03,1548033.78,0,49.27,211.607193
1,2010-12-10,1682614.26,0,46.33,211.4659526
1,2010-12-17,1891034.93,0,49.84,211.4053124
1,2010-12-24,2387950.2,0,52.33,211.4051222
1,2010-12-31,1367320.01,1,48.43,211.4049321
1,2011-01-07,1444732.28,0,48.27,211.4047419
1,2011-01-14,1391013.96,0,35.4,211.4574109
1,2011-01-21,1327405.42,0,44.04,211.8272343
1,2011-01-28,1316899.31,0,43.83,212.1970577
1,2011-02-04,1606629.58,0,42.27,212.5668812
1,2011-02-11,1649614.93,1,36.39,212.9367046
1,2011-02-18,1686842.78,0,57.36,213.2478853
1,2011-02-25,1456800.28,0,62.9,213.535609
1,2011-03-04,1636263.41,0,59.58,213.8233327
1,2011-03-11,1553191.63,0,53.56,214.1110564
1,2011-03-18,1576818.06,0,62.76,214.3627114
1,2011-03-25,1541102.38,0,69.97,214.5999389
1,2011-04-01,1495064.75,0,59.17,214.8371664
1,2011-04-08,1614259.35,0,67.84,215.0743939
1,2011-04-15,1559889.0,0,71.27,215.2918561
1,2011-04-22,1564819.81,0,72.99,215.4599053
1,2011-04-29,1455090.69,0,72.03,215.6279544
1,2011-05-06,1629391.28,0,64.61,215.7960035
1,2011-05-13,1604775.58,0,75.64,215.9640526
1,2011-05-20,1428218.27,0,67.63,215.7339202
1,2011-05-27,1466046.67,0,77.72,215.5037878
1,2011-06-03,1635078.41,0,83.0,215.2736553
1,2011-06-10,1588948.32,0,83.13,215.0435229
1,2011-06-17,1532114.86,0,86.41,214.9980596
1,2011-06-24,1438830.15,0,83.58,215.0910982
1,2011-07-01,1488538.09,0,85.55,215.1841368
1,2011-07-08,1534849.64,0,85.83,215.2771754
1,2011-07-15,1455119.97,0,88.54,215.3611087
1,2011-07-22,1396926.82,0,85.77,215.4222784
1,2011-07-29,1352219.79,0,86.83,215.4834482
1,2011-08-05,1624383.75,0,91.65,215.544618
1,2011-08-12,1525147.09,0,90.76,215.6057878
1,2011-08-19,1530761.43,0,89.94,215.6693107
1,2011-08-26,1464693.46,0,87.96,215.7332258
1,2011-09-02,1550229.22,0,87.83,215.7971409
1,2011-09-09,1540471.24,1,76.0,215.861056
1,2011-09-16,1514259.78,0,79.94,216.0410526
1,2011-09-23,1380020.27,0,75.8,216.3758246
1,2011-09-30,1394561.83,0,79.69,216.7105965
1,2011-10-07,1630989.95,0,69.31,217.0453684
1,2011-10-14,1493525.93,0,71.74,217.3552733
1,2011-10-21,1502562.78,0,63.71,217.5159762
1,2011-10-28,1445249.09,0,66.57,217.6766791
1,2011-11-04,1697229.58,0,54.98,217.837382
1,2011-11-11,1594938.89,0,59.11,217.9980849
1,2011-11-18,1539483.7,0,62.25,218.2205088
1,2011-11-25,2033320.66,1,60.14,218.4676211
1,2011-12-02,1584083.95,0,48.91,218.7147333
1,2011-12-09,1799682.38,0,43.93,218.9618456
1,2011-12-16,1881176.67,0,51.63,219.1794533
1,2011-12-23,2270188.99,0,47.96,219.3577216
1,2011-12-30,1497462.72,1,44.55,219.5359898
1,2012-01-06,1550369.92,0,49.01,219.7142581
1,2012-01-13,1459601.17,0,48.53,219.8925263
1,2012-01-20,1394393.84,0,54.11,219.9856893
1,2012-01-27,1319325.59,0,54.26,220.0788523
1,2012-02-03,1636339.65,0,56.55,220.1720153
1,2012-02-10,1802477.43,1,48.02,220.2651783
1,2012-02-17,1819870.0,0,45.32,220.4257586
1,2012-02-24,1539387.83,0,57.25,220.636902
1,2012-03-02,1688420.76,0,60.96,220.8480454
1,2012-03-09,1675431.16,0,58.76,221.0591887
1,2012-03-16,1677472.78,0,64.74,221.2118132
1,2012-03-23,1511068.07,0,65.93,221.2864126
